source,chemical,casnumber_grouped,medium,accepted_name,conc_ug_L,value_tier,taxonomy_provenance
anzg,Chlorine,7782505,Marine,Dendraster excentricus,6.4,curated,curated_source
anzg,Chlorine,7782505,Marine,Brachionus plicatilis,90,curated,curated_source
anzg,Chlorine,7782505,Marine,Crassostrea virginica,23,curated,curated_source
anzg,Chlorine,7782505,Marine,Acartia tonsa,29,curated,curated_source
anzg,Chlorine,7782505,Marine,Pontogeneia sp.,687,curated,curated_source
anzg,Chlorine,7782505,Marine,Anonyx sp.,145,curated,curated_source
anzg,Chlorine,7782505,Marine,Homarus americanus,2890,curated,curated_source
anzg,Chlorine,7782505,Marine,Neomysis sp.,162,curated,curated_source
anzg,Chlorine,7782505,Marine,Mysidopsis bahia,68,curated,curated_source
anzg,Chlorine,7782505,Marine,Pandalus danae,178,curated,curated_source
anzg,Chlorine,7782505,Marine,Pandalus gonurus,90,curated,curated_source
anzg,Chlorine,7782505,Marine,Crangon nigricauda,134,curated,curated_source
anzg,Chlorine,7782505,Marine,Palaemonetes pugio,220,curated,curated_source
anzg,Chlorine,7782505,Marine,Hemigrapsus nudus,1420,curated,curated_source
anzg,Chlorine,7782505,Marine,Menidia peninsulae,54,curated,curated_source
anzg,Chlorine,7782505,Marine,Pleuronectes platessa,24,curated,curated_source
anzg,Chlorine,7782505,Marine,Oncorhynchus kisutch,32,curated,curated_source
anzg,Chlorine,7782505,Marine,Clupea harengus pallasi,65,curated,curated_source
anzg,Chlorine,7782505,Marine,Gasterosteus aculeatus,167,curated,curated_source
anzg,Chlorine,7782505,Marine,Cymatogaster aggregata,71,curated,curated_source
anzg,Chlorine,7782505,Marine,Ammodytes hexapterus,82,curated,curated_source
anzg,Chlorine,7782505,Marine,Parophrys vetulus,73,curated,curated_source
anzg,Chlorine,7782505,Marine,Menidia menidia,37,curated,curated_source
anzg,Chlorine,7782505,Marine,Menidia beryllina,135,curated,curated_source
anzg,Chlorine,7782505,Marine,Syngnathus fuscus,270,curated,curated_source
anzg,Chlorine,7782505,Marine,Gobiosoma bosci,80,curated,curated_source
anzg,Chlorine,7782505,Marine,Morone americana,270,curated,curated_source
anzg,Chlorine,7782505,Marine,Morone saxatilis,200,curated,curated_source
anzg,Chlorine,7782505,Marine,Alosa aestivalis,240,curated,curated_source
